"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Feb-20-2019)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2018-19,2018,49,50-64 yr,3,0.9
Entire Network,FluSurv-NET,2018-19,2018,50,50-64 yr,4.7,1.7
Entire Network,FluSurv-NET,2018-19,2018,51,50-64 yr,7,2.3
Entire Network,FluSurv-NET,2018-19,2018,52,50-64 yr,10.8,3.8
Entire Network,FluSurv-NET,2018-19,2019,1,50-64 yr,15.2,4.4
Entire Network,FluSurv-NET,2018-19,2019,2,50-64 yr,19,3.8
Entire Network,FluSurv-NET,2018-19,2019,3,50-64 yr,22.4,3.4
Entire Network,FluSurv-NET,2018-19,2019,4,50-64 yr,25.3,2.8
Entire Network,FluSurv-NET,2018-19,2019,5,50-64 yr,29.2,4
Entire Network,FluSurv-NET,2018-19,2019,6,50-64 yr,32.5,3.2
Entire Network,FluSurv-NET,2018-19,2019,7,50-64 yr,null,null
Entire Network,FluSurv-NET,2018-19,2018,40,65+ yr,0.2,0.2
Entire Network,FluSurv-NET,2018-19,2018,41,65+ yr,0.5,0.3
Entire Network,FluSurv-NET,2018-19,2018,42,65+ yr,0.8,0.3
Entire Network,FluSurv-NET,2018-19,2018,43,65+ yr,1.1,0.3
Entire Network,FluSurv-NET,2018-19,2018,44,65+ yr,1.5,0.4
Entire Network,FluSurv-NET,2018-19,2018,45,65+ yr,2.1,0.6
Entire Network,FluSurv-NET,2018-19,2018,46,65+ yr,2.6,0.5
Entire Network,FluSurv-NET,2018-19,2018,47,65+ yr,3.4,0.8
Entire Network,FluSurv-NET,2018-19,2018,48,65+ yr,4.8,1.4
Entire Network,FluSurv-NET,2018-19,2018,49,65+ yr,6.5,1.7
Entire Network,FluSurv-NET,2018-19,2018,50,65+ yr,9.1,2.6
Entire Network,FluSurv-NET,2018-19,2018,51,65+ yr,13.5,4.4
Entire Network,FluSurv-NET,2018-19,2018,52,65+ yr,21.4,7.9
Entire Network,FluSurv-NET,2018-19,2019,1,65+ yr,30.7,9.3
Entire Network,FluSurv-NET,2018-19,2019,2,65+ yr,37.4,6.7
Entire Network,FluSurv-NET,2018-19,2019,3,65+ yr,42.9,5.5
Entire Network,FluSurv-NET,2018-19,2019,4,65+ yr,48.8,5.9
Entire Network,FluSurv-NET,2018-19,2019,5,65+ yr,57,8.3
Entire Network,FluSurv-NET,2018-19,2019,6,65+ yr,64.1,7
Entire Network,FluSurv-NET,2018-19,2019,7,65+ yr,null,null

Disclaimer:
The Influenza Hospitalization Surveillance Network (FluSurv-NET) data are preliminary and subject
to change as more data become available. All incidence rates are unadjusted.  FluSurv-NET conducts
population-based surveillance for laboratory-confirmed influenza related hospitalizations in
children <18 years of age (since 2003-2004 influenza season) and adults (since 2005-2006 influenza
season).  The FluSurv-NET covers over 70 counties in the 10 Emerging Infections Program (EIP)
"states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and additional Influenza Hospitalization"
Surveillance Project (IHSP) states.   The IHSP began during the 2009-2010 season to enhance
"surveillance during the 2009 H1N1 pandemic.  IHSP sites included IA, ID, MI, OK and SD during"
"2009-2010 season; ID, MI, OH, OK, RI, and UT during the 2010-2011 season; MI, OH, RI, and UT during"
"the 2011-2012 season; IA, MI, OH, RI, and UT during the 2012-2013 season; and MI, OH, and UT during"
"the 2013-2014 , 2014-2015 and 2015-2016 seasons.  Cumulative and weekly unadjusted incidence rates"
"(per 100,000 population) are calculated using the National Center for Health Statistics' (NCHS)"
population estimates for the counties included in the surveillance catchment area.  The rates
"provided are likely to be underestimated as influenza-related hospitalizations can be missed,"
"either because testing is not performed, or because cases may be attributed to other causes of"
pneumonia or other common influenza-related complications.
